PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.5	True	Affects	Affects	1.0	banana bunchy	banana bunchy	0.5	banana variety, banana plantation, banana plantations, bananas, banana	banana bunches
Partial Match	0.5	True	Located in	Located in	0.5	banana variety, banana plantation, banana plantations, bananas, banana	banana bunchy	1.0	Uganda, West Nile region	West Nile region
Partial Match	0.5	True	Located in	Located in	0.5	banana variety, banana plantation, banana plantations, bananas, banana	banana bunchy	1.0	Arua district, Arua	Arua district
Partial Match	0.5	True	Located in	Located in	0.5	Banana bunchy top disease	banana bunchy	1.0	Kasese District, Kasese district	Kasese district
Partial Match	0.5	True	Located in	Located in	0.5	Banana bunchy top disease	banana bunchy	1.0	Mpondwe	Mpondwe
Partial Match	0.25	True	Affects	Affects	0.5	Banana bunchy top disease	banana bunchy	0.5	banana variety, banana plantation, banana plantations, bananas, banana	banana
Partial Match	0.5	True	Located in	Located in	0.5	banana variety, banana plantation, banana plantations, bananas, banana	banana bunchy	1.0	Ankole	Ankole
Partial Match	0.5	True	Located in	Located in	0.5	banana variety, banana plantation, banana plantations, bananas, banana	banana bunchy	1.0	Buganda	Buganda
Partial Match	0.3333333333333333	True	Located in	Located in	0.3333333333333333	banana variety, banana plantation, banana plantations, bananas, banana	banana bacterial wilt	1.0	Malawi	Malawi
Partial Match	0.3333333333333333	True	Located in	Located in	0.3333333333333333	banana variety, banana plantation, banana plantations, bananas, banana	banana bacterial wilt	1.0	Asia	Asia
False Negative	0.0		Located in			maize			Malawi	
False Positive	0.0			Located in			banana bunchy			Democratic Republic of the Congo (DRC)
False Positive	0.0			Affects			emerging pests			banana
False Positive	0.0			Affects			emerging diseases			banana
