	repeat-5	repeat-10	repeat-15	repeat-20
117674.txt	0.43333333333333335	nan	nan	nan
102904.txt	0.36363636363636365	0.30769230769230765	0.18181818181818182	0.18181818181818182
107172.txt	nan	nan	nan	nan
99067.txt	nan	nan	nan	nan
99107.txt	0.30303030303030304	0.30303030303030304	0.30303030303030304	0.30303030303030304
104499.txt	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666
104329.txt	nan	nan	nan	nan
100011.txt	0.30769230769230765	0.30769230769230765	0.30769230769230765	0.30769230769230765
115183.txt	0.5217391304347827	0.5217391304347827	0.5	0.5
105652.txt	0.5714285714285715	0.5714285714285715	0.5714285714285715	0.5714285714285715
