	gpt-4o-mini	kimi	deepseek
106151	0.6	0.16666666666666666	0.6
106959	nan	1.0	1.0
116223	0.28571428571428575	0.4347826086956522	0.7142857142857143
98917	0.7777777777777778	0.8888888888888888	0.8421052631578948
107272	0.0625	0.3888888888888889	0.15789473684210525
115106	0.0392156862745098	0.2545454545454545	0.14545454545454545
114379	0.38888888888888884	0.4	0.4571428571428572
99613	0.4	0.2857142857142857	0.6666666666666666
117674	0.456140350877193	0.09302325581395349	0.2181818181818182
106963	0.42105263157894735	0.41666666666666663	0.17391304347826086
99614	nan	nan	nan
117298	0.6250000000000001	0.5263157894736842	0.6666666666666666
99984	0.8	0.8	0.8
117892	nan	nan	nan
102904	0.36363636363636365	0.4	0.28571428571428575
117299	0.588235294117647	0.4000000000000001	0.5263157894736842
105611	0.08	0.5074626865671642	0.15384615384615385
107172	0.15384615384615385	0.25	0.22222222222222224
102584	0.42857142857142855	0.14285714285714285	0.5714285714285714
115211	0.4000000000000001	0.4615384615384615	0.6
98579	0.5	nan	0.33333333333333337
107207	0.4	0.4	0.4
98195	0.6	0.6153846153846153	nan
98142	0.16666666666666666	0.5	0.125
116119	0.3333333333333333	0.25	0.2
106336	0.2702702702702703	0.22222222222222224	0.23529411764705882
116125	nan	0.33333333333333337	0.10526315789473684
98783	0.13333333333333333	0.08333333333333333	0.06666666666666667
98191	nan	nan	nan
104119	nan	nan	nan
98392	nan	nan	nan
104656	0.43478260869565216	0.380952380952381	0.5454545454545455
99067	nan	0.19999999999999998	0.23076923076923075
99107	0.3703703703703704	nan	0.32
98794	0.16	0.16	0.26666666666666666
103847	0.6666666666666666	1.0	1.0
103660	0.7142857142857143	0.8571428571428571	0.9333333333333333
114259	0.08	0.18518518518518517	0.2181818181818182
116664	0.15384615384615383	0.2222222222222222	0.125
104499	1.0	0.8571428571428571	0.8571428571428571
116507	nan	nan	nan
104329	nan	1.0	nan
116671	0.2222222222222222	nan	0.2222222222222222
100011	0.30769230769230765	nan	0.5333333333333333
116070	0.125	0.42857142857142855	0.125
115183	0.5217391304347827	nan	0.48
99132	0.4	0.4	0.4
103669	nan	nan	nan
116983	0.5333333333333333	0.7692307692307692	0.8571428571428571
105652	0.5714285714285715	0.8571428571428571	0.8571428571428571
105862	0.10526315789473682	nan	nan
103963	0.42857142857142855	0.5	0.5714285714285714
116761	0.6666666666666665	0.5	0.5454545454545454
102488	0.4	0.6	0.3636363636363636
115243	0.5	0.03333333333333333	0.032786885245901634
