	repeat-5	repeat-10	repeat-15	repeat-20
100011	0.4531250000000009	0.5138888888888895	0.5760339099553213	0.6543873139814076
102904	0.19540229885057456	0.5049933654584825	0.5821329495852887	0.5043144435966014
104329	1	1	0.8285714285714286	0.8714285714285719
104499	0.326923076923077	0.401709401709402	0.41673212882953686	0.5187969924812031
105652	1	1	1	1
107172	0.33094384707287927	0.3685111711677177	0.432049727889402	0.4874454039608301
115183	0.16088765603328573	0.415992812219228	0.449522440176646	0.7433583959899749
117674	0.4299688000674596	0.6664291440277897	0.6447383028852663	0.6453685748957851
99067	0.34363066012002197	0.4081500046412327	0.48834307837209484	0.48283967060508365
99107	0.508444444444445	0.5658308126950699	0.5942640692640697	0.6003482458343647
