Document	gpt-4o-mini	kimi	deepseek
Texte1	0.5535714285714282	1.0	1.0	
Texte2	1.0	1.0	1.0	
Texte3	1.0	0.4318181818181825	1.0	
Texte4	0.22912713472485763	0.28541666666666643	0.33908045977011475	
Texte5	0.2666666666666666	0.31722689075630284	0.18730158730158702	
Texte6	0.39047619047619037	1.0	0.4819611470860314	
Texte7	0.4444444444444444	0.5666666666666661	0.6017156862745094	
Texte8	0.44930069930069916	0.25303030303030305	0.607201309328969	
Texte9	0.18153846153846115	0.2592592592592586	1.0	
Texte10	0.3891402714932129	0.37499999999999983	0.22083333333333316	
Texte11	0.07520325203252028	-0.01831896551724147	0.5564516129032256	
Texte12	0.24107142857142858	0.5	1.0	
Texte13	0.4300911854103339	0.35404807084124074	-0.00609756097560897	
